Interest Pages,Follower Counts,Follow Rate
Angela Ahrendts,"826,911",0.318
Robert Herjavec,"2,245,306",0.8636
Starbucks,"2,153,460",0.8283
Nordstrom,"429,336",0.1651
Columbia Sportswear Company,"157,235",0.0605
North Dakota State University,"68,655",0.0264
Dansko,"4,564",0.0018
City of Seattle,"37,116",0.0143
REI,"202,377",0.0778
evo,557,0.0002
"Eagle Creek, a VF Company","2,385",0.0009
Baroness Michelle Mone OBE,"114,392",0.044
LinkedIn,"14,193,031",5.4589
Amazon,"17,808,563",6.8494
Digitas North America,"167,958",0.0646
International Paper,"282,612",0.1087
The New York Times,"5,815,511",2.2367
U.S. Coast Guard,"76,846",0.0296
"The North Face, a VF Company","329,859",0.1269
Lands'​ End,"30,664",0.0118
L.L.Bean,"38,890",0.015
Barkley,"19,056",0.0073
The Metropolitan Museum of Art,"246,849",0.0949
The Museum of Modern Art,"155,797",0.0599
National Wildlife Federation,"39,082",0.015
Conservation International,"110,519",0.0425
College of Charleston,"70,485",0.0271
AIGA Design,"140,621",0.0541
Solomon Page,"211,119",0.0812
The New Yorker,"642,972",0.2473
National Audubon Society,"30,653",0.0118
State University of New York College at Oswego,"56,069",0.0216
Gildan,"59,571",0.0229
Investigo,"78,417",0.0302
Carhartt,"47,307",0.0182
Pantone,"326,526",0.1256
Mizuno Corporation,"10,387",0.004
Christopher & Dana Reeve Foundation,"2,698",0.001
Mac Papers,"4,023",0.0015
Print Magazine,"13,445",0.0052
Duluth Trading Company,"13,428",0.0052
Apple,"13,063,314",5.0244
National Geographic,"3,083,288",1.1859
National Park Service,"154,004",0.0592
Syracuse University,"213,156",0.082
The Washington Post,"1,412,808",0.5434
Golden Artist Colors,"5,628",0.0022
US Coast Guard Auxiliary,"5,224",0.002
TED Conferences,"19,192,389",7.3817
Patagonia,"496,706",0.191
YETI,"70,526",0.0271
WWF,"432,597",0.1664
AriZona Beverage Co.,"8,742",0.0034
Synergy Interactive,"156,766",0.0603
Brunton Business Publications Ltd,"2,344",0.0009
